Elevation,Sig1,Total_S4_Sig1,Correction_total_S4_Sig1,y
14.0,41.9,0.177,0.08,0
37.0,47.1,0.085,0.044000000000000004,0
35.0,46.2,0.099,0.049,0
47.0,49.0,0.107,0.035,0
51.0,49.7,0.061,0.033,0
50.0,49.9,0.05,0.032,0
45.0,48.3,0.064,0.039,0
76.0,51.0,0.067,0.027999999999999997,0
15.0,43.3,0.11900000000000001,0.069,0
37.0,47.0,0.07,0.045,0
35.0,46.7,0.07400000000000001,0.046,0
21.0,43.8,0.147,0.065,0
48.0,49.7,0.071,0.033,0
51.0,49.4,0.062,0.034,0
49.0,49.7,0.055,0.033,0
44.0,48.3,0.10099999999999999,0.039,0
76.0,50.9,0.052000000000000005,0.028999999999999998,0
15.0,43.1,0.091,0.07,0
37.0,47.4,0.076,0.043,0
16.0,42.5,0.11800000000000001,0.075,0
36.0,46.3,0.083,0.048,0
21.0,42.6,0.131,0.07400000000000001,0
48.0,49.6,0.064,0.033,0
52.0,49.5,0.06,0.033,0
49.0,49.3,0.065,0.034,0
44.0,48.2,0.073,0.039,0
75.0,51.0,0.067,0.027999999999999997,0
15.0,42.4,0.09699999999999999,0.076,0
37.0,47.0,0.087,0.045,0
36.0,47.1,0.085,0.044000000000000004,0
48.0,49.9,0.057,0.032,0
52.0,50.0,0.047,0.032,0
48.0,49.1,0.071,0.035,0
44.0,48.1,0.059000000000000004,0.039,0
75.0,51.1,0.07,0.027999999999999997,0
15.0,40.9,0.17,0.09,0
37.0,47.4,0.09699999999999999,0.043,0
16.0,39.1,0.191,0.111,0
36.0,47.1,0.111,0.044000000000000004,0
20.0,42.9,0.102,0.07200000000000001,0
49.0,49.5,0.07,0.033,0
53.0,49.8,0.054000000000000006,0.032,0
48.0,48.7,0.057,0.037000000000000005,0
43.0,48.1,0.055,0.039,0
75.0,50.8,0.053,0.028999999999999998,0
16.0,40.8,0.151,0.092,0
37.0,46.6,0.09300000000000001,0.047,0
36.0,47.3,0.11,0.043,0
20.0,42.1,0.157,0.079,0
49.0,49.7,0.064,0.033,0
53.0,50.0,0.05,0.032,0
47.0,48.7,0.075,0.037000000000000005,0
43.0,48.3,0.071,0.038,0
75.0,51.0,0.075,0.027999999999999997,0
16.0,41.5,0.177,0.084,0
37.0,46.9,0.10099999999999999,0.045,0
17.0,43.0,0.166,0.071,0
37.0,47.5,0.114,0.042,0
19.0,41.8,0.174,0.08199999999999999,0
50.0,50.0,0.07,0.032,0
54.0,49.9,0.053,0.032,0
47.0,48.4,0.073,0.038,0
43.0,48.2,0.066,0.039,0
74.0,51.1,0.057999999999999996,0.027999999999999997,0
16.0,43.2,0.14800000000000002,0.069,0
37.0,47.3,0.073,0.043,0
37.0,48.1,0.121,0.039,0
19.0,41.2,0.156,0.08800000000000001,0
50.0,50.0,0.064,0.031,0
54.0,49.5,0.049,0.033,0
46.0,48.3,0.067,0.038,0
42.0,48.3,0.065,0.039,0
74.0,50.9,0.048,0.027999999999999997,0
16.0,44.2,0.11699999999999999,0.062,0
37.0,46.9,0.094,0.045,0
37.0,48.3,0.106,0.039,0
51.0,50.1,0.068,0.031,0
54.0,49.8,0.042,0.032,0
46.0,48.6,0.08900000000000001,0.037000000000000005,0
42.0,47.9,0.086,0.04,0
74.0,50.8,0.045,0.028999999999999998,0
17.0,43.1,0.133,0.07,0
37.0,46.6,0.073,0.047,0
18.0,42.8,0.135,0.07200000000000001,0
38.0,48.1,0.076,0.039,0
18.0,41.5,0.14800000000000002,0.084,0
51.0,50.1,0.055,0.031,0
55.0,49.8,0.064,0.032,0
45.0,49.0,0.071,0.035,0
41.0,48.1,0.066,0.039,0
73.0,50.8,0.059000000000000004,0.028999999999999998,0
17.0,42.4,0.126,0.076,0
37.0,46.8,0.10300000000000001,0.046,0
38.0,48.0,0.061,0.04,0
51.0,49.9,0.042,0.032,0
55.0,50.0,0.044000000000000004,0.032,0
45.0,49.1,0.053,0.035,0
41.0,48.1,0.086,0.039,0
73.0,50.7,0.046,0.028999999999999998,0
17.0,41.6,0.122,0.083,0
37.0,46.7,0.10400000000000001,0.046,0
19.0,40.8,0.19899999999999998,0.092,0
38.0,48.5,0.073,0.038,0
17.0,41.8,0.134,0.08199999999999999,0
52.0,50.0,0.059000000000000004,0.032,0
56.0,50.0,0.040999999999999995,0.032,0
44.0,49.3,0.063,0.034,0
41.0,47.8,0.067,0.040999999999999995,0
73.0,50.7,0.043,0.028999999999999998,0
17.0,42.0,0.142,0.079,0
37.0,46.3,0.079,0.049,0
20.0,41.2,0.157,0.087,0
39.0,48.7,0.064,0.037000000000000005,0
17.0,41.5,0.153,0.084,0
52.0,49.8,0.057,0.032,0
56.0,50.0,0.049,0.032,0
44.0,49.3,0.067,0.034,0
40.0,47.6,0.07,0.042,0
73.0,50.7,0.048,0.028999999999999998,0
17.0,43.2,0.133,0.069,0
37.0,47.1,0.10099999999999999,0.044000000000000004,0
20.0,41.4,0.159,0.085,0
39.0,48.8,0.09300000000000001,0.036000000000000004,0
16.0,41.7,0.146,0.08199999999999999,0
53.0,50.0,0.057,0.032,0
57.0,49.8,0.057999999999999996,0.032,0
43.0,49.5,0.051,0.034,0
40.0,48.0,0.092,0.04,0
72.0,50.8,0.043,0.028999999999999998,0
18.0,43.4,0.132,0.067,0
37.0,47.2,0.076,0.044000000000000004,0
20.0,41.6,0.154,0.084,0
39.0,48.3,0.073,0.039,0
16.0,41.9,0.145,0.08,0
53.0,50.2,0.051,0.031,0
57.0,49.5,0.047,0.034,0
43.0,49.2,0.07200000000000001,0.035,0
39.0,47.7,0.083,0.040999999999999995,0
72.0,50.7,0.048,0.028999999999999998,0
18.0,44.2,0.09699999999999999,0.062,0
37.0,47.1,0.078,0.044000000000000004,0
21.0,41.1,0.156,0.08800000000000001,0
39.0,48.7,0.069,0.037000000000000005,0
16.0,42.5,0.147,0.075,0
53.0,50.5,0.055,0.03,0
58.0,49.4,0.055,0.034,0
42.0,49.0,0.076,0.035,0
39.0,47.5,0.083,0.042,0
71.0,50.9,0.047,0.027999999999999997,0
18.0,42.9,0.106,0.07200000000000001,0
37.0,47.4,0.094,0.043,0
21.0,42.4,0.174,0.076,0
40.0,48.7,0.047,0.037000000000000005,0
15.0,42.2,0.184,0.078,0
54.0,50.3,0.048,0.031,0
58.0,49.3,0.055,0.034,0
42.0,49.0,0.055999999999999994,0.036000000000000004,0
39.0,47.5,0.094,0.042,0
71.0,50.7,0.046,0.028999999999999998,0
18.0,42.6,0.109,0.075,0
37.0,47.1,0.086,0.044000000000000004,0
22.0,42.6,0.19,0.07400000000000001,0
40.0,48.8,0.06,0.036000000000000004,0
54.0,50.0,0.047,0.032,0
58.0,49.2,0.057,0.035,0
41.0,48.9,0.057999999999999996,0.036000000000000004,0
38.0,47.2,0.081,0.044000000000000004,0
71.0,50.7,0.045,0.028999999999999998,0
18.0,43.1,0.136,0.07,0
37.0,46.9,0.07400000000000001,0.045,0
22.0,41.1,0.175,0.08800000000000001,0
40.0,48.1,0.098,0.039,0
54.0,50.1,0.057,0.031,0
59.0,49.2,0.051,0.035,0
41.0,48.7,0.064,0.037000000000000005,0
38.0,47.0,0.114,0.044000000000000004,0
70.0,50.7,0.044000000000000004,0.028999999999999998,0
19.0,43.5,0.13,0.067,0
37.0,46.9,0.10099999999999999,0.045,0
22.0,43.0,0.128,0.071,0
40.0,48.0,0.086,0.04,0
55.0,50.4,0.05,0.03,0
59.0,49.5,0.040999999999999995,0.034,0
40.0,48.5,0.075,0.038,0
38.0,47.1,0.092,0.044000000000000004,0
70.0,50.8,0.048,0.028999999999999998,0
19.0,42.3,0.11199999999999999,0.077,0
36.0,46.2,0.076,0.049,0
41.0,48.4,0.071,0.038,0
55.0,50.5,0.046,0.03,0
60.0,49.2,0.057999999999999996,0.035,0
40.0,48.0,0.083,0.04,0
37.0,47.1,0.076,0.044000000000000004,0
69.0,50.8,0.044000000000000004,0.028999999999999998,0
19.0,42.6,0.09699999999999999,0.07400000000000001,0
36.0,47.1,0.09,0.044000000000000004,0
41.0,48.5,0.08199999999999999,0.038,0
56.0,50.6,0.042,0.028999999999999998,0
60.0,49.2,0.059000000000000004,0.034,0
39.0,47.4,0.081,0.043,0
37.0,47.6,0.08800000000000001,0.042,0
69.0,50.7,0.063,0.028999999999999998,0
19.0,42.7,0.158,0.073,0
36.0,47.1,0.09,0.044000000000000004,0
24.0,43.6,0.13,0.066,0
41.0,48.0,0.055999999999999994,0.04,0
56.0,50.7,0.051,0.028999999999999998,0
61.0,49.2,0.045,0.034,0
39.0,47.2,0.08800000000000001,0.043,0
36.0,47.2,0.081,0.044000000000000004,0
69.0,50.6,0.051,0.028999999999999998,0
19.0,43.9,0.09300000000000001,0.064,0
36.0,46.7,0.073,0.046,0
41.0,47.9,0.061,0.04,0
12.0,42.9,0.17300000000000001,0.07200000000000001,0
56.0,50.9,0.045,0.028999999999999998,0
61.0,49.1,0.043,0.035,0
38.0,47.3,0.07,0.043,0
36.0,46.8,0.099,0.046,0
68.0,50.7,0.046,0.028999999999999998,0
20.0,43.2,0.087,0.069,0
36.0,46.9,0.073,0.045,0
42.0,47.8,0.071,0.040999999999999995,0
57.0,50.5,0.04,0.03,0
61.0,49.2,0.040999999999999995,0.035,0
38.0,47.5,0.071,0.042,0
36.0,47.1,0.095,0.044000000000000004,0
68.0,50.7,0.044000000000000004,0.028999999999999998,0
20.0,43.2,0.099,0.069,0
36.0,46.9,0.063,0.045,0
25.0,44.1,0.09699999999999999,0.062,0
42.0,47.8,0.085,0.040999999999999995,0
57.0,50.4,0.039,0.03,0
62.0,49.5,0.049,0.033,0
37.0,47.6,0.08,0.042,0
35.0,47.2,0.07,0.044000000000000004,0
67.0,50.8,0.045,0.028999999999999998,0
20.0,43.5,0.105,0.067,0
36.0,46.8,0.057999999999999996,0.046,0
25.0,44.0,0.11199999999999999,0.063,0
42.0,47.6,0.066,0.042,0
13.0,42.5,0.111,0.075,0
