Phase and Amplitude Scintillation Indices

Satellite System: 0 = GPS, 1 = GLONASS, 2 = SBAS, 5 = GALILEO, 6 = COMPASS, 7 = QZSS, 8 = LBAND

Frequency: GLONASS frequency channel (-7 to +6) 

Signal Type for each Satellite System

GPS     : 1 = L1CA,     4 = L2Y,  5 = L2C, 6 = L2P,    7 = L5Q
GLONASS : 1 = L1CA,     3 = L2CA, 4 = L2P
SBAS    : 1 = L1CA,     2 = L5I
GALILEO : 1 = E1,       2 = E5A,  3 = E5B, 4 = ALTBOC, 5 = E6
COMPASS : 1 = E2
QZSS    : 1 = L1CA,     3 = L2C,  4 = L5Q
LBAND   : 1 = OMNISTAR, 2 = CDGPS

GPS Week: 2117,  Satellite System: 0

GPS TOW , PRN, Freq, SigType, Az , Elv , CNo , Lock Time, CMC Avg, CMC Std , S4 , S4 Cor, 1SecSigma, 3SecSigma, 10SecSigma, 30SecSigma, 60SecSigma 
100500.00,1,0,7, 274.15,15.41,43.63,3416.429932,-844.063,0.029,0.148136,0.065894,0.077299,0.085365,0.093846,0.094009,0.094073 
100560.00,1,0,1, 273.68,15.27,41.14,3478.570068,1.774,0.334,0.181768,0.087791,0.102043,0.113463,0.123722,0.124020,0.124005 
100560.00,1,0,7, 273.68,15.27,46.15,3476.429932,-843.855,0.080,0.173870,0.049253,0.063657,0.072819,0.082103,0.082286,0.082272 
100620.00,1,0,1, 273.26,15.15,41.15,3538.570068,2.919,0.157,0.147730,0.087635,0.093424,0.105460,0.121914,0.122509,0.123467 
100620.00,1,0,7, 273.26,15.15,47.37,3536.429932,-843.609,0.050,0.074123,0.042802,0.055552,0.065305,0.080048,0.080449,0.081274 
100680.00,1,0,1, 272.82,15.01,40.18,3598.570068,2.793,0.061,0.130998,0.098071,0.106227,0.115068,0.133299,0.133463,0.133470 
100680.00,1,0,7, 272.82,15.01,45.36,3596.429932,-843.669,0.103,0.233657,0.053964,0.069755,0.077184,0.092423,0.092577,0.092587 
100740.00,1,0,1, 272.38,14.87,40.75,3658.570068,3.687,0.392,0.148001,0.091816,0.099413,0.112952,0.133145,0.134010,0.134032 
100740.00,1,0,7, 272.38,14.87,44.24,3656.429932,-844.036,0.056,0.168227,0.061433,0.074198,0.084955,0.099481,0.100121,0.100132 
100800.00,1,0,1, 271.94,14.73,38.64,3718.570068,2.925,0.768,0.211792,0.117110,0.118549,0.123821,0.137775,0.137790,0.137911 
100800.00,1,0,7, 271.94,14.73,47.69,3716.429932,-843.821,0.124,0.179766,0.041273,0.055260,0.061656,0.076488,0.076550,0.076720 
100860.00,1,0,1, 271.48,14.58,40.98,3778.570068,2.916,0.463,0.173585,0.089389,0.092101,0.105033,0.114345,0.114501,0.114493 
100860.00,1,0,7, 271.48,14.58,47.60,3776.429932,-843.573,0.020,0.125554,0.041703,0.053424,0.065060,0.073202,0.073395,0.073390 
100920.00,1,0,1, 271.07,14.44,36.40,3838.570068,2.483,0.848,0.460826,0.151861,0.156747,0.166662,0.172799,0.173144,0.173118 
100920.00,1,0,7, 271.07,14.44,45.71,3836.429932,-843.724,0.064,0.141231,0.051852,0.066334,0.078421,0.087214,0.087795,0.087791 
100980.00,1,0,1, 270.64,14.29,38.76,3898.570068,0.570,0.324,0.512080,0.115584,0.128920,0.140512,0.153336,0.153756,0.153737 
100980.00,1,0,7, 270.64,14.29,44.43,3896.429932,-843.923,0.053,0.093629,0.060102,0.073577,0.084063,0.095656,0.096158,0.096147 
101040.00,1,0,1, 270.20,14.14,42.43,3958.570068,3.303,0.985,0.118084,0.075677,0.080094,0.096949,0.118323,0.119176,0.119194 
101040.00,1,0,7, 270.20,14.14,45.86,3956.429932,-843.974,0.048,0.214606,0.050976,0.064545,0.076341,0.090423,0.091063,0.091058 
101100.00,1,0,1, 269.77,13.99,39.70,4018.570068,4.924,0.109,0.261716,0.103685,0.098927,0.110598,0.127399,0.127488,0.127517 
101100.00,1,0,7, 269.77,13.99,48.19,4016.429932,-843.700,0.081,0.081733,0.038959,0.052818,0.063924,0.080689,0.080781,0.080811 
101160.00,1,0,1, 269.31,13.82,38.61,4078.570068,4.013,0.263,0.168234,0.117502,0.110046,0.124952,0.141663,0.142416,0.142394 
101160.00,1,0,7, 269.31,13.82,46.29,4076.429932,-843.672,0.072,0.180928,0.048474,0.061688,0.076746,0.091622,0.092405,0.092389 
101220.00,1,0,1, 268.91,13.68,38.59,4138.569824,4.181,0.131,0.262853,0.117825,0.117532,0.132063,0.158415,0.158586,0.159031 
101220.00,1,0,7, 268.91,13.68,44.89,4136.430176,-843.985,0.080,0.087382,0.056993,0.070679,0.083638,0.106416,0.106568,0.106970 
101280.00,1,0,1, 268.48,13.52,35.86,4198.569824,3.287,0.244,0.198934,0.161660,0.150770,0.160207,0.166327,0.166568,0.166565 
101280.00,1,0,7, 268.48,13.52,45.19,4196.430176,-844.043,0.047,0.111865,0.055050,0.066099,0.076955,0.083311,0.083728,0.083746 
101340.00,1,0,1, 268.06,13.36,35.83,4258.569824,2.987,0.063,0.198570,0.162160,0.151015,0.167804,0.190352,0.191162,0.191233 
101340.00,1,0,7, 268.06,13.36,46.71,4256.430176,-843.778,0.093,0.125596,0.046222,0.060786,0.083380,0.109987,0.110793,0.110896 
101400.00,1,0,1, 267.63,13.19,35.89,4318.569824,2.116,0.454,0.190559,0.161066,0.152323,0.187685,0.226957,0.227679,0.227737 
101400.00,1,0,7, 267.63,13.19,47.37,4316.430176,-843.544,0.032,0.078476,0.042819,0.061209,0.101489,0.142031,0.142627,0.142718 
101460.00,1,0,1, 267.18,13.02,38.45,4378.569824,2.119,0.670,0.399162,0.119783,0.123063,0.147762,0.165893,0.166962,0.166956 
101460.00,1,0,7, 267.18,13.02,45.66,4376.430176,-843.648,0.082,0.172903,0.052124,0.067411,0.091581,0.109635,0.110471,0.110467 
101520.00,1,0,1, 266.78,12.86,40.26,4438.569824,5.028,0.639,0.144280,0.097208,0.094550,0.107093,0.114431,0.114734,0.114743 
101520.00,1,0,7, 266.78,12.86,43.74,4436.430176,-843.911,0.055,0.122115,0.065021,0.077713,0.086264,0.092743,0.092945,0.092959 
101580.00,1,0,1, 266.36,12.69,40.00,4498.569824,5.085,0.177,0.154417,0.100113,0.095397,0.114322,0.124119,0.124385,0.124382 
